大家好,歡迎大家來到本週的Terra Talk,我是今天的主持人林怡蓉Emma,我目前在Caltech做CO2 reduction,能供光合作用合成燃料相關的研究,那歡迎大家今天來參加我們的演講,首先我先來介紹一下我們今天的講者杜益修,杜益修目前是史丹佛大學博士生,
他大學畢業於台大物理系,他之前大學的時間在朱世偉老師實驗室做專題生,做的研究內容是silicon photonics相關的研究,他在大學的過程當中去了一趟Berkeley物理系交換一年,那時候他做的研究是graphene synthesis相關的study。
杜益修目前在史丹佛大學物理系,物理所一年級應用物理,他現在是在高松宏實驗室進行rotation,目前實驗室從事的是聲音影像與神經科學相關的研究,他接下來的博士班的研究興趣是希望將nanophotonics和neuroscience結合起來做vocation。
他今天所要演講的題目是跟台大朱世偉老師實驗室合作的一些光學study。
這次的演講主題內容主要是希望大家,基本上silicon記憶體電路的蓬勃發展,所以人們一直想要將silicon光學元件合併到一些電晶體,還有narrowdown在一個chip內,來達到真正的photonical IC,但silicon元件基本上目前實際比較龐大,
所以他們希望能夠理解到能不能將尺度縮小為奈米,尺度達到更大的密度,同時維持非線性光學的性質。
這次的演講會講的是,在一個小尺度下,silicon的超大非線性效應。
今天的題目是Greatly Enhanced Photothermal Nonlinearly in a Silicon Nano Resonator。
我們鼓掌歡迎今天的講者,杜一修。
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
杜一修,演講主持人
主持人
主持人
